Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2020,Europe,Faeroe Islands,50000,10000,10000,10000,10000,10000,10000,10000,50000
2020,Latin America-Caribbean,Falkland Islands (Malvinas),10000,10000,10000,10000,10000,10000,10000,10000,10000
2020,Asia-Pacific,Fiji,630000,60000,10000,270000,10000,10000,10000,10000,980000
2020,Europe,Finland,4280000,70000,1140000,10000,10000,10000,10000,10000,5510000
2020,Europe,France,37940000,5430000,20830000,40000,310000,250000,110000,340000,65260000
2020,Latin America-Caribbean,French Guiana,240000,10000,10000,10000,10000,20000,10000,10000,280000
2020,Asia-Pacific,French Polynesia,280000,10000,10000,10000,10000,10000,10000,10000,300000
2020,Sub-Saharan Africa,Gabon,1400000,230000,110000,10000,10000,110000,10000,10000,1860000
2020,Sub-Saharan Africa,Gambia,100000,2260000,10000,10000,10000,10000,10000,10000,2370000
2020,Europe,Georgia,3690000,490000,30000,10000,10000,10000,10000,10000,4220000
2020,Europe,Germany,53190000,5530000,21150000,80000,230000,40000,100000,220000,80540000
2020,Sub-Saharan Africa,Ghana,22330000,5300000,1160000,10000,10000,1500000,40000,10000,30350000
2020,Europe,Gibraltar,30000,10000,10000,10000,10000,10000,10000,10000,30000
2020,Europe,Greece,9850000,660000,690000,20000,10000,10000,10000,10000,11250000
2020,North America,Greenland,50000,10000,10000,10000,10000,10000,10000,10000,60000
2020,Latin America-Caribbean,Grenada,120000,10000,10000,10000,10000,10000,10000,10000,120000
2020,Latin America-Caribbean,Guadeloupe,470000,10000,10000,10000,10000,10000,10000,10000,490000
2020,Asia-Pacific,Guam,190000,10000,10000,10000,10000,10000,10000,10000,200000
2020,Latin America-Caribbean,Guatemala,17360000,10000,720000,10000,10000,110000,20000,10000,18210000
2020,Sub-Saharan Africa,Guinea,1380000,10800000,230000,10000,10000,340000,10000,10000,12760000
2020,Sub-Saharan Africa,Guinea-Bissau,350000,850000,80000,10000,10000,560000,10000,10000,1840000
2020,Latin America-Caribbean,Guyana,580000,50000,20000,200000,10000,10000,10000,10000,850000
2020,Latin America-Caribbean,Haiti,10040000,10000,1230000,10000,10000,240000,30000,10000,11550000
2020,Europe,Vatican City,10000,10000,10000,10000,10000,10000,10000,10000,10000
2020,Latin America-Caribbean,Honduras,7950000,10000,950000,10000,10000,100000,60000,10000,9090000
2020,Asia-Pacific,Hong Kong,1120000,160000,4090000,30000,1000000,970000,110000,10000,7480000
2020,Europe,Hungary,7680000,10000,1970000,10000,10000,10000,10000,10000,9690000
2020,Europe,Iceland,330000,10000,10000,10000,10000,10000,10000,10000,350000
2020,Asia-Pacific,India,33800000,213340000,900000,1093780000,10140000,6540000,28520000,10000,1387030000
2020,Asia-Pacific,Indonesia,26930000,229620000,240000,4210000,1800000,750000,360000,10000,263910000
2020,Asia-Pacific,Iran,100000,80880000,100000,20000,10000,10000,140000,10000,81250000
2020,Middle East-North Africa,Iraq,320000,41430000,50000,10000,10000,10000,20000,10000,41830000
2020,Europe,Ireland,4590000,80000,400000,20000,10000,10000,10000,10000,5110000
2020,Europe,Isle of Man,80000,10000,10000,10000,10000,10000,10000,10000,90000
